"Year","Outcome","RE","mean","LL","UL"
2001,"Obesity","all",0.338213376890016,0.311578508985892,0.36484824479414
2002,"Obesity","all",0.348037975800013,0.322245069356554,0.373830882243472
2003,"Obesity","all",0.35349872178554,0.328664826474924,0.378332617096157
2004,"Obesity","all",0.358417970197576,0.332623444078864,0.384212496316288
2005,"Obesity","all",0.3632809215552,0.336863013802107,0.389698829308293
2006,"Obesity","all",0.368145620612887,0.341085818539808,0.395205422685966
2007,"Obesity","all",0.37298560800892,0.345471184387704,0.400500031630137
2008,"Obesity","all",0.377600468160554,0.349162479522635,0.406038456798472
2009,"Obesity","all",0.383619166792433,0.35487874219908,0.412359591385785
2010,"Obesity","all",0.387867382312194,0.358427647478278,0.417307117146111
2011,"Obesity","all",0.393358970056097,0.363597821242879,0.423120118869315
2012,"Obesity","all",0.399585163661489,0.369134885810584,0.430035441512393
2013,"Obesity","all",0.404725051183445,0.373582002567841,0.435868099799049
2014,"Obesity","all",0.409172774590845,0.378266295236387,0.440079253945303
2015,"Obesity","all",0.413554841229412,0.382423893070114,0.444685789388709
2001,"Diabetes","all",0.132607276656611,0.118688838142194,0.146525715171029
2002,"Diabetes","all",0.152049256462644,0.138371422209258,0.165727090716029
2003,"Diabetes","all",0.162348877361246,0.148197372149042,0.17650038257345
2004,"Diabetes","all",0.172948124520452,0.159355351133532,0.186540897907372
2005,"Diabetes","all",0.182160151267297,0.168609744050099,0.195710558484495
2006,"Diabetes","all",0.191501089170312,0.177921474711836,0.205080703628788
2007,"Diabetes","all",0.199852021928337,0.186160671644319,0.213543372212356
2008,"Diabetes","all",0.208625968931103,0.194961044376715,0.222290893485492
2009,"Diabetes","all",0.21596523169949,0.202375215147459,0.229555248251522
2010,"Diabetes","all",0.223140470722301,0.208882692712026,0.237398248732575
2011,"Diabetes","all",0.231893488585323,0.217289256533162,0.246497720637484
2012,"Diabetes","all",0.23834801061342,0.223034937849522,0.253661083377319
2013,"Diabetes","all",0.245399391038664,0.229519742593583,0.261279039483744
2014,"Diabetes","all",0.252186506476563,0.236089890581028,0.268283122372097
2015,"Diabetes","all",0.257466889812699,0.240714267254616,0.274219512370782
2001,"CVD_history","all",0.103140692075301,0.0849562416967005,0.121325142453902
2002,"CVD_history","all",0.104326577694336,0.0859732767174838,0.122679878671189
2003,"CVD_history","all",0.110536156876493,0.0922502720166586,0.128822041736326
2004,"CVD_history","all",0.117260261445101,0.0985424294613745,0.135978093428828
2005,"CVD_history","all",0.12187526060395,0.102592121193177,0.141158400014724
2006,"CVD_history","all",0.126943285284102,0.107270868598692,0.146615701969513
2007,"CVD_history","all",0.132119579137701,0.112021849101667,0.152217309173736
2008,"CVD_history","all",0.135775854368201,0.116048191066747,0.155503517669655
2009,"CVD_history","all",0.139572993483467,0.11989993729781,0.159246049669125
2010,"CVD_history","all",0.142515787369758,0.123049256740682,0.161982317998835
2011,"CVD_history","all",0.145604830166037,0.12676987821187,0.164439782120204
2012,"CVD_history","all",0.146017137020462,0.12663754526898,0.165396728771944
2013,"CVD_history","all",0.15254538784748,0.133216451815109,0.171874323879851
2014,"CVD_history","all",0.157547733139835,0.137251123772091,0.177844342507579
2015,"CVD_history","all",0.162448452767574,0.143025835808828,0.181871069726319
2001,"QALY","all",0.834706027759005,0.83187930111319,0.837532754404819
2002,"QALY","all",0.850928388625866,0.848780386636715,0.853076390615018
2003,"QALY","all",0.843074883622351,0.840306544439208,0.845843222805493
2004,"QALY","all",0.834067716374134,0.831201657962238,0.83693377478603
2005,"QALY","all",0.825339923324413,0.821950443808941,0.828729402839885
2006,"QALY","all",0.815876581096975,0.812295751712646,0.819457410481304
2007,"QALY","all",0.806098833913463,0.801575132285496,0.810622535541431
2008,"QALY","all",0.795718833160597,0.790902250013313,0.800535416307881
2009,"QALY","all",0.784220826510117,0.778508121031843,0.789933531988392
2010,"QALY","all",0.772259975744248,0.765934171061379,0.778585780427117
2011,"QALY","all",0.759064420516503,0.751993741891045,0.76613509914196
2012,"QALY","all",0.744875367274722,0.737767828376002,0.751982906173442
2013,"QALY","all",0.729833574457218,0.722762678508274,0.736904470406161
2014,"QALY","all",0.714303314061716,0.705807613560287,0.722799014563146
2015,"QALY","all",0.697993252341543,0.688768921955962,0.707217582727124
2001,"All-cause mortality","all",0,0,0
2002,"All-cause mortality","all",0.00736136937563073,0.00629634114142165,0.0084263976098398
