"Year","Outcome","RE","mean","LL","UL"
2001,"Obesity","all",0.338213376890016,0.311578508985892,0.36484824479414
2002,"Obesity","all",0.347791005845978,0.321868885881363,0.373713125810593
2003,"Obesity","all",0.353551802350636,0.328181065969035,0.378922538732237
2004,"Obesity","all",0.358723290637808,0.33256079588966,0.384885785385956
2005,"Obesity","all",0.362769680857832,0.33579538062167,0.389743981093993
2006,"Obesity","all",0.3675430918385,0.340663871064551,0.394422312612449
2007,"Obesity","all",0.372756931621998,0.345608578604184,0.399905284639812
2008,"Obesity","all",0.377397335231393,0.350205771994684,0.404588898468103
2009,"Obesity","all",0.381127341449067,0.353256647375423,0.408998035522712
2010,"Obesity","all",0.386509499932275,0.357959140931865,0.415059858932685
2011,"Obesity","all",0.392736767749134,0.363735250873269,0.421738284624999
2012,"Obesity","all",0.398951475214947,0.369491265134557,0.428411685295336
2013,"Obesity","all",0.403817347790534,0.373986577504101,0.433648118076966
2014,"Obesity","all",0.409402704569594,0.380158183480182,0.438647225659005
2015,"Obesity","all",0.413442323708277,0.3842171842964,0.442667463120154
2001,"Diabetes","all",0.132607276656611,0.118688838142194,0.146525715171029
2002,"Diabetes","all",0.164115894386221,0.149064323694712,0.17916746507773
2003,"Diabetes","all",0.186260991553409,0.170271249269515,0.202250733837303
2004,"Diabetes","all",0.207009539366037,0.190087505024966,0.223931573707108
2005,"Diabetes","all",0.227315091904974,0.210645422002621,0.243984761807327
2006,"Diabetes","all",0.244601159900489,0.227143237134235,0.262059082666743
2007,"Diabetes","all",0.262316278278666,0.244754246989231,0.279878309568102
2008,"Diabetes","all",0.276981880018422,0.259333399173939,0.294630360862905
2009,"Diabetes","all",0.289506493849253,0.271427389970008,0.307585597728497
2010,"Diabetes","all",0.304622111318028,0.28483687722323,0.324407345412826
2011,"Diabetes","all",0.319461940162692,0.299234367124279,0.339689513201105
2012,"Diabetes","all",0.333430308063001,0.313364395508197,0.353496220617805
2013,"Diabetes","all",0.346043799531671,0.326099176300122,0.36598842276322
2014,"Diabetes","all",0.358194462539088,0.337007997664291,0.379380927413885
2015,"Diabetes","all",0.36983380670854,0.348469845168797,0.391197768248284
2001,"CVD_history","all",0.103140692075301,0.0849562416967005,0.121325142453902
2002,"CVD_history","all",0.104182487627198,0.0857972506382994,0.122567724616098
2003,"CVD_history","all",0.110682963950783,0.0920923483312939,0.129273579570273
2004,"CVD_history","all",0.117387107014127,0.0988207387643381,0.135953475263915
2005,"CVD_history","all",0.122522539805776,0.103980412100816,0.141064667510736
2006,"CVD_history","all",0.127390036823829,0.108718725423834,0.146061348223824
2007,"CVD_history","all",0.130495202639644,0.111852578091706,0.149137827187583
2008,"CVD_history","all",0.134896185961718,0.116076579817133,0.153715792106302
2009,"CVD_history","all",0.138780264699509,0.119758702013139,0.157801827385879
2010,"CVD_history","all",0.140003372765667,0.120885272378721,0.159121473152612
2011,"CVD_history","all",0.140274152293364,0.121447166679576,0.159101137907153
2012,"CVD_history","all",0.141949033161664,0.122829210573229,0.161068855750099
2013,"CVD_history","all",0.147854800039464,0.128390799071304,0.167318801007623
2014,"CVD_history","all",0.153838462688731,0.133829295080774,0.173847630296688
2015,"CVD_history","all",0.158164410394485,0.137553452113023,0.178775368675946
2001,"QALY","all",0.834706027759005,0.83187930111319,0.837532754404819
2002,"QALY","all",0.852440331259422,0.850152999785025,0.854727662733819
2003,"QALY","all",0.843578881382866,0.840562948190479,0.846594814575253
2004,"QALY","all",0.834225157168413,0.830575804689917,0.837874509646909
2005,"QALY","all",0.824067514428414,0.819688103839724,0.828446925017104
2006,"QALY","all",0.813774031494294,0.809233774197145,0.818314288791442
2007,"QALY","all",0.803817993592796,0.798552789869137,0.809083197316456
2008,"QALY","all",0.792911099866566,0.786772338173469,0.799049861559663
2009,"QALY","all",0.780885961111497,0.774207696512267,0.787564225710726
2010,"QALY","all",0.768600032526174,0.761514599603452,0.775685465448896
2011,"QALY","all",0.754931803813291,0.747455066947463,0.762408540679118
2012,"QALY","all",0.74020081163302,0.731477374465211,0.748924248800829
2013,"QALY","all",0.726295389999152,0.716809487096174,0.73578129290213
2014,"QALY","all",0.710864832632829,0.70069215215388,0.721037513111777
2015,"QALY","all",0.695270747075512,0.684429459111339,0.706112035039685
2001,"All-cause mortality","all",0,0,0
2002,"All-cause mortality","all",0.00671151879623847,0.00572389349946604,0.0076991440930109
2003,"All-cause mortality","all",0.014382037174925,0.0125865960396477,0.0161774783102023
2004,"All-cause mortality","all",0.0232684400769723,0.0204296015682512,0.0261072785856934
2005,"All-cause mortality","all",0.0332305780245601,0.0297462161512813,0.036714939897839
2006,"All-cause mortality","all",0.0436217713005503,0.0397051865011637,0.047538356099937
2007,"All-cause mortality","all",0.0531312805315407,0.0484775274092588,0.0577850336538226
2008,"All-cause mortality","all",0.0643887222948808,0.0584921758917942,0.0702852686979673
2009,"All-cause mortality","all",0.0766701323458854,0.0701862007048983,0.0831540639868725
2010,"All-cause mortality","all",0.0899736049585917,0.0831205239598053,0.0968266859573782
2011,"All-cause mortality","all",0.10441816832092,0.0968868552372012,0.111949481404639
2012,"All-cause mortality","all",0.118802327055382,0.109601790647221,0.128002863463543
2013,"All-cause mortality","all",0.13353040005327,0.123461138737674,0.143599661368867
2014,"All-cause mortality","all",0.150038813119643,0.139160636285977,0.160916989953309
2015,"All-cause mortality","all",0.167393607444365,0.155756441097853,0.179030773790878
2001,"Incident Stroke","all",0,0,0
2002,"Incident Stroke","all",0.00334079487018591,0.00251730148998601,0.0041642882503858
2003,"Incident Stroke","all",0.00427363024439016,0.00327935281722946,0.00526790767155086
2004,"Incident Stroke","all",0.00351078057549766,0.00253095394485903,0.00449060720613628
2005,"Incident Stroke","all",0.00332547363826505,0.00238786306511979,0.00426308421141031
2006,"Incident Stroke","all",0.00323405882905874,0.00242250592846986,0.00404561172964761
2007,"Incident Stroke","all",0.00342429254458738,0.00243148525023749,0.00441709983893728
2008,"Incident Stroke","all",0.00268357915621028,0.00195386964965963,0.00341328866276093
2009,"Incident Stroke","all",0.0030500460713223,0.00247322151693665,0.00362687062570795
2010,"Incident Stroke","all",0.00227702308657333,0.00167267607130864,0.00288137010183802
2011,"Incident Stroke","all",0.0022548649427327,0.00152673882531341,0.002982991060152
2012,"Incident Stroke","all",0.0057020334473683,0.0046954710931601,0.00670859580157651
2013,"Incident Stroke","all",0.00593874451491163,0.00485929928655467,0.00701818974326858
2014,"Incident Stroke","all",0.00505105439273017,0.00429892180759534,0.00580318697786499
2015,"Incident Stroke","all",0.00417904897921845,0.00323857398742824,0.00511952397100865
2001,"Incident CHD","all",0,0,0
2002,"Incident CHD","all",0.00463603710911616,0.00381406200977363,0.00545801220845869
2003,"Incident CHD","all",0.00441313161482677,0.00344334490562031,0.00538291832403323
2004,"Incident CHD","all",0.00421195586390865,0.00327250976817546,0.00515140195964184
2005,"Incident CHD","all",0.00400268992865569,0.00283057603898253,0.00517480381832885
2006,"Incident CHD","all",0.00363233100861984,0.00287999687940552,0.00438466513783416
2007,"Incident CHD","all",0.00407921036263037,0.00331498767052315,0.00484343305473758
2008,"Incident CHD","all",0.00403100920669562,0.00326977332821243,0.00479224508517881
2009,"Incident CHD","all",0.00313309369623806,0.00254868270192922,0.00371750469054689
2010,"Incident CHD","all",0.00260804043233167,0.00197393663925476,0.00324214422540857
2011,"Incident CHD","all",0.003727207367249,0.0028204801842698,0.00463393455022819
2012,"Incident CHD","all",0.00608766662023976,0.00515190632756126,0.00702342691291826
2013,"Incident CHD","all",0.00626919470091304,0.00493283493501287,0.00760555446681322
2014,"Incident CHD","all",0.00512611473626267,0.00415833012709132,0.00609389934543403
2015,"Incident CHD","all",0.00498134671844326,0.00410480779917794,0.00585788563770858
2001,"Obesity","NHW",0.341602789656835,0.315144801354963,0.368060777958707
2002,"Obesity","NHW",0.353013548032204,0.327816032273788,0.378211063790621
2003,"Obesity","NHW",0.359128708445556,0.334310126528951,0.383947290362161
2004,"Obesity","NHW",0.36444871698243,0.338507032526882,0.390390401437977
2005,"Obesity","NHW",0.368570377560229,0.341246889612907,0.395893865507552
2006,"Obesity","NHW",0.373663850781168,0.346197294123906,0.401130407438429
2007,"Obesity","NHW",0.379415283427743,0.351427956970577,0.407402609884909
2008,"Obesity","NHW",0.3844003756338,0.356177094998745,0.412623656268856
2009,"Obesity","NHW",0.387979504862208,0.358411211115929,0.417547798608487
2010,"Obesity","NHW",0.393762085173545,0.36315034029725,0.42437383004984
2011,"Obesity","NHW",0.400243973351636,0.368884316314951,0.431603630388321
2012,"Obesity","NHW",0.406839762383235,0.374963417118384,0.438716107648086
2013,"Obesity","NHW",0.412056239881364,0.379670334263006,0.444442145499723
2014,"Obesity","NHW",0.417265210423524,0.385182448360979,0.449347972486069
2015,"Obesity","NHW",0.421180364616169,0.388294999925581,0.454065729306757
2001,"Diabetes","NHW",0.108926086960623,0.0947378010744423,0.123114372846804
2002,"Diabetes","NHW",0.141184560056261,0.125281778330294,0.157087341782228
2003,"Diabetes","NHW",0.163583314710342,0.146201726708944,0.180964902711741
2004,"Diabetes","NHW",0.184961518254541,0.166260879576228,0.203662156932854
2005,"Diabetes","NHW",0.206339260972774,0.187934253544416,0.224744268401132
2006,"Diabetes","NHW",0.223050706349523,0.203671428058672,0.242429984640374
2007,"Diabetes","NHW",0.240728015927855,0.22133006399516,0.260125967860551
2008,"Diabetes","NHW",0.255315173883866,0.235739493942898,0.274890853824835
2009,"Diabetes","NHW",0.26788092563208,0.24740646089609,0.28835539036807
2010,"Diabetes","NHW",0.282603789970589,0.26017075883078,0.305036821110398
2011,"Diabetes","NHW",0.297600421383603,0.274486237344618,0.320714605422587
2012,"Diabetes","NHW",0.311801610846196,0.289265367241305,0.334337854451087
2013,"Diabetes","NHW",0.325044752767746,0.30204607400917,0.348043431526322
2014,"Diabetes","NHW",0.33764506471371,0.31262993949813,0.362660189929289
2015,"Diabetes","NHW",0.349436863826798,0.323728017872647,0.375145709780949
2001,"CVD_history","NHW",0.1022202096735,0.0830907739228286,0.121349645424172
2002,"CVD_history","NHW",0.103276331128872,0.0839587867722797,0.122593875485464
2003,"CVD_history","NHW",0.109367700364636,0.089712925996541,0.12902247473273
2004,"CVD_history","NHW",0.116039166454854,0.0964472927622498,0.135631040147459
2005,"CVD_history","NHW",0.120934534094495,0.101476596732943,0.140392471456048
2006,"CVD_history","NHW",0.125236601153479,0.105876305232055,0.144596897074902
2007,"CVD_history","NHW",0.12782073893099,0.10847140809435,0.147170069767631
2008,"CVD_history","NHW",0.132125665145345,0.112671599631925,0.151579730658765
2009,"CVD_history","NHW",0.135558241680958,0.115700378183326,0.155416105178591
2010,"CVD_history","NHW",0.136081817233125,0.115919205938247,0.156244428528004
2011,"CVD_history","NHW",0.136065841292991,0.116257192088116,0.155874490497867
2012,"CVD_history","NHW",0.136906548559284,0.116560764662306,0.157252332456262
2013,"CVD_history","NHW",0.142746541697176,0.122074505154497,0.163418578239856
2014,"CVD_history","NHW",0.148332171895788,0.126622450849201,0.170041892942375
2015,"CVD_history","NHW",0.152195817177328,0.130163824529909,0.174227809824748
2001,"QALY","NHW",0.837545626246095,0.834431014232042,0.840660238260148
2002,"QALY","NHW",0.853972348057088,0.851499859695245,0.85644483641893
2003,"QALY","NHW",0.844832971625174,0.841365898133334,0.848300045117014
2004,"QALY","NHW",0.835187244080123,0.831047763145029,0.839326725015218
2005,"QALY","NHW",0.824592477877386,0.819453127472725,0.829731828282046
2006,"QALY","NHW",0.81445207650089,0.809062380619965,0.819841772381815
2007,"QALY","NHW",0.804028663111556,0.797696452285524,0.810360873937587
2008,"QALY","NHW",0.792630580626175,0.785119047821556,0.800142113430794
2009,"QALY","NHW",0.780557291503879,0.772578681099266,0.788535901908491
2010,"QALY","NHW",0.76767346194177,0.758972867705044,0.776374056178496
2011,"QALY","NHW",0.75313883888906,0.743995301475297,0.762282376302823
2012,"QALY","NHW",0.737872708253331,0.727158760812569,0.748586655694093
2013,"QALY","NHW",0.723578511296013,0.712247737180264,0.734909285411762
2014,"QALY","NHW",0.707625429550932,0.695074129496749,0.720176729605116
2015,"QALY","NHW",0.691577114341393,0.678370815345581,0.704783413337204
2001,"All-cause mortality","NHW",0,0,0
2002,"All-cause mortality","NHW",0.00704018957785689,0.0059127297195898,0.00816764943612399
2003,"All-cause mortality","NHW",0.0148590450277418,0.0127288784684921,0.0169892115869915
2004,"All-cause mortality","NHW",0.0240582106877221,0.0208119713688551,0.027304450006589
2005,"All-cause mortality","NHW",0.0345389779910888,0.0303300508750231,0.0387479051071546
2006,"All-cause mortality","NHW",0.0448225904319,0.0399309172770178,0.0497142635867821
2007,"All-cause mortality","NHW",0.0547815667916952,0.0489631431057239,0.0605999904776665
2008,"All-cause mortality","NHW",0.0666233993903321,0.0593051170866239,0.0739416816940403
2009,"All-cause mortality","NHW",0.0791074650444743,0.0711826282409425,0.087032301848006
2010,"All-cause mortality","NHW",0.0931382518935161,0.0846321222505252,0.101644381536507
2011,"All-cause mortality","NHW",0.108525403932532,0.0991227155599776,0.117928092305087
2012,"All-cause mortality","NHW",0.123459160408024,0.111994531069826,0.134923789746223
2013,"All-cause mortality","NHW",0.138578937298388,0.126312088663095,0.150845785933682
2014,"All-cause mortality","NHW",0.155836462162937,0.142351597296257,0.169321327029618
2015,"All-cause mortality","NHW",0.173691710779665,0.159393625813365,0.187989795745965
2001,"Incident Stroke","NHW",0,0,0
2002,"Incident Stroke","NHW",0.00300896650957801,0.00201762190718379,0.00400031111197222
2003,"Incident Stroke","NHW",0.00446078557810195,0.00326709091973972,0.00565448023646417
2004,"Incident Stroke","NHW",0.00342636423040339,0.00219492506574464,0.00465780339506215
2005,"Incident Stroke","NHW",0.00301755977268581,0.00200199147609979,0.00403312806927183
2006,"Incident Stroke","NHW",0.00296043363092777,0.002134212249258,0.00378665501259754
2007,"Incident Stroke","NHW",0.00340657414383212,0.00232366247573513,0.00448948581192911
2008,"Incident Stroke","NHW",0.00277186909350217,0.00189719954622152,0.00364653864078281
2009,"Incident Stroke","NHW",0.00284571483069792,0.00217080038647245,0.00352062927492339
2010,"Incident Stroke","NHW",0.00209523638470239,0.00132738622543011,0.00286308654397467
2011,"Incident Stroke","NHW",0.00226473945901991,0.0014586804271546,0.00307079849088523
2012,"Incident Stroke","NHW",0.00595044862598159,0.00482330372038939,0.00707759353157379
2013,"Incident Stroke","NHW",0.00631531539227382,0.00497164161330793,0.00765898917123971
2014,"Incident Stroke","NHW",0.00523753385450204,0.00412389581248541,0.00635117189651867
2015,"Incident Stroke","NHW",0.00439566554244142,0.00328467926574535,0.00550665181913748
2001,"Incident CHD","NHW",0,0,0
2002,"Incident CHD","NHW",0.0047509245613975,0.00377529821025293,0.00572655091254207
2003,"Incident CHD","NHW",0.00434782972863047,0.00304740628626944,0.00564825317099151
2004,"Incident CHD","NHW",0.00433425544141054,0.00318734714829197,0.0054811637345291
2005,"Incident CHD","NHW",0.00385990859094013,0.00246268310177867,0.0052571340801016
2006,"Incident CHD","NHW",0.00352015809976424,0.00269946505469858,0.00434085114482989
2007,"Incident CHD","NHW",0.00397591418674849,0.00304055632599453,0.00491127204750245
2008,"Incident CHD","NHW",0.00388630292969168,0.00299144372493394,0.00478116213444942
2009,"Incident CHD","NHW",0.00294446711198483,0.002341335976504,0.00354759824746566
2010,"Incident CHD","NHW",0.00236092194550373,0.00159681651737113,0.00312502737363633
